Czech Republic,3,1,78866,11,5,0,0,2,3,1,0,1,0,1,0,0,white,0,0,0,0,0,0,1,0,0,0,blue,red
Slovakia,3,1,49035,5,5,0,0,3,3,1,0,1,0,1,0,0,white,0,1,0,0,0,0,0,0,1,0,white,red
Germany,3,1,357168,82,4,1,0,3,3,1,0,0,1,0,1,0,black,0,0,0,0,0,0,0,0,0,0,black,yellow
Armenia,4,1,29743,3,6,1,0,3,3,1,0,1,1,0,0,0,red,0,0,0,0,0,0,0,0,0,0,red,yellow
Kazakhstan,4,1,2000,18,5,2,1,0,2,0,0,1,1,0,0,0,blue,1,0,0,0,1,0,1,1,0,0,blue,blue
Tajikistan,4,1,143,8,6,2,0,3,4,1,1,0,1,1,0,0,red,0,0,0,0,7,0,0,1,0,0,red,green
Kyrgyzstan,4,1,199,6,6,2,0,0,2,1,0,0,1,0,0,0,red,1,0,0,0,1,0,0,0,0,0,red,red
Russia,4,1,17000,144,5,1,0,3,3,1,0,1,0,1,0,0,white,0,0,0,0,0,0,0,0,0,0,white,red
Serbia,3,1,88,7,5,1,0,3,4,1,0,1,1,1,0,0,red,0,0,0,0,0,0,0,1,1,0,red,white
Nambia,4,2,826,2,1,1,0,0,5,1,1,1,1,1,0,0,blue,0,0,0,0,1,0,1,0,0,0,blue,green
Cambodia,4,2,181,16,10,3,0,3,5,1,0,1,0,1,1,0,red,0,0,0,0,0,0,0,1,0,0,blue,blue
Eritrea,4,2,118,5,8,2,0,0,4,1,1,1,1,0,0,0,red,0,0,0,0,0,0,0,0,1,0,green,blue
Palau,6,1,0,0,1,0,0,0,2,0,0,1,1,0,0,0,blue,1,0,0,0,0,0,0,0,0,0,green,blue
Turkmenistan,4,1,491,6,6,2,3,0,4,1,1,0,1,1,0,0,green,0,0,0,0,5,1,32,0,0,0,green,green
